name,label,kind,roles,reference,levels,notes
participant_id,Participant identifier,id,identifier,,,Direct identifier excluded from summaries
disease,Incident cardiometabolic disease,binary,outcome,0,"0|1",Primary binary outcome
death,All-cause death,event,event,0,"0|1",Event indicator for Cox example
fu_time,Follow-up time in months,time,time,,,Months from baseline to censoring or death
fu_pt,Person-time in years,person_time,time,,,Person-time contribution for rate example
age,Age at baseline,continuous,covariate,,,Years
bmi,Body mass index,continuous,covariate,,,kg/m2
smoke,Current smoking,categorical,exposure,never,"never|former|current",Exposure variable
sex,Sex,categorical,"covariate|strata",female,"female|male",Adjustment and stratification variable
site,Study site,categorical,cluster,,north|south|east,Cluster and survey stratum variable
survey_weight,Sampling weight,continuous,weight,,,Illustrative survey weight
